Date,AAPL,QQQ,SPY,TSLA
2020-01-02,72.3338851928711,208.31752014160156,296.8881530761719,28.68400001525879
2020-01-03,71.63063049316406,206.40940856933594,294.6400451660156,29.534000396728516
2020-01-06,72.20142364501953,207.73931884765625,295.76409912109375,30.1026668548584
2020-01-07,71.86187744140625,207.71038818359375,294.9325256347656,31.270666122436523
2020-01-08,73.01781463623047,209.27162170410156,296.5044250488281,32.80933380126953
2020-01-09,74.56880950927734,211.04486083984375,298.5149230957031,32.089332580566406
2020-01-10,74.73736572265625,210.5052032470703,297.6557922363281,31.876667022705078
2020-01-13,76.33409881591797,212.93377685546875,299.7030029296875,34.990665435791016
2020-01-14,75.30332946777344,212.0953369140625,299.2459716796875,35.861331939697266
2020-01-15,74.9806137084961,212.18209838867188,299.9222106933594,34.56666564941406
2020-01-16,75.91985321044922,214.2154998779297,302.4170837402344,34.232666015625
2020-01-17,76.76036071777344,215.27560424804688,303.3584289550781,34.03333282470703
2020-01-21,76.24016571044922,215.17919921875,302.7642822265625,36.47999954223633
2020-01-22,76.51229858398438,215.74783325195312,302.8008728027344,37.97066879272461
2020-01-23,76.88076782226562,216.441650390625,303.14813232421875,38.14666748046875
2020-01-24,76.65922546386719,214.62026977539062,300.4522705078125,37.654666900634766
2020-01-27,74.405029296875,210.1871795654297,295.63616943359375,37.201332092285156
2020-01-28,76.50990295410156,213.4156494140625,298.73419189453125,37.793331146240234
2020-01-29,78.1114273071289,213.76255798339844,298.48748779296875,38.732666015625
2020-01-30,77.99822998046875,214.52392578125,299.4562072753906,42.72066879272461
2020-01-31,74.53990173339844,211.12196350097656,294.0186767578125,43.371334075927734
2020-02-03,74.33519744873047,214.31187438964844,296.20269775390625,52.0
2020-02-04,76.78926849365234,219.21719360351562,300.7173156738281,59.137332916259766
2020-02-05,77.41544342041016,219.94000244140625,304.19000244140625,48.97999954223633
2020-02-06,78.32095336914062,221.83851623535156,305.2134704589844,49.930667877197266
2020-02-07,77.25635528564453,220.8844451904297,303.5868225097656,49.871334075927734
2020-02-10,77.623291015625,223.55397033691406,305.85321044921875,51.41866683959961
2020-02-11,77.15496826171875,223.5924835205078,306.3832092285156,51.62533187866211
2020-02-12,78.98724365234375,225.7705078125,308.35723876953125,51.15266799926758
2020-02-13,78.42476654052734,225.48141479492188,308.0282287597656,53.599998474121094
2020-02-14,78.4440689086914,226.1270751953125,308.5216979980469,53.33533477783203
2020-02-18,77.00772094726562,226.2138214111328,307.7266845703125,57.22666549682617
2020-02-19,78.12300109863281,228.38217163085938,309.197998046875,61.16133117675781
2020-02-20,77.32152557373047,226.26199340820312,307.927734375,59.96066665649414
2020-02-21,75.57135772705078,221.9156036376953,304.756591796875,60.06666564941406
2020-02-24,71.98169708251953,213.35780334472656,294.64923095703125,55.58599853515625
2020-02-25,69.54351806640625,207.55618286132812,285.7207336425781,53.32733154296875
2020-02-26,70.646728515625,208.6259307861328,284.6697692871094,51.91999816894531
2020-02-27,66.0286865234375,198.17922973632812,271.8847961425781,45.266666412353516
2020-02-28,65.99006652832031,198.3334503173828,270.7424621582031,44.53266525268555
2020-03-02,72.13377380371094,208.56809997558594,282.46746826171875,49.574668884277344
2020-03-03,69.84285736083984,201.87989807128906,274.379638671875,49.70066833496094
2020-03-04,73.08251953125,210.30284118652344,285.9125671386719,49.96666717529297
2020-03-05,70.7119140625,203.9133758544922,276.4084167480469,48.30266571044922
2020-03-06,69.77285766601562,200.47286987304688,271.8391418457031,46.89866638183594
2020-03-09,64.25437927246094,186.54713439941406,250.6099853515625,40.53333282470703
2020-03-10,68.88206481933594,196.70472717285156,263.5777587890625,43.02199935913086
2020-03-11,66.48979187011719,188.13726806640625,250.72872924804688,42.28200149536133
2020-03-12,59.9235954284668,170.88670349121094,226.73968505859375,37.369998931884766
2020-03-13,67.1029281616211,185.3617706298828,246.12286376953125,36.44133377075195
2020-03-16,58.4703483581543,163.15765380859375,219.19113159179688,29.67133331298828
2020-03-17,61.04129409790039,175.53179931640625,231.02574157714844,28.68000030517578
2020-03-18,59.5470085144043,170.1928253173828,219.32823181152344,24.08133316040039
2020-03-19,59.09074020385742,171.21434020996094,219.7943115234375,28.50933265686035
2020-03-20,55.33933639526367,164.5068817138672,210.3224334716797,28.50200080871582
2020-03-23,54.16370391845703,164.6256561279297,204.9448699951172,28.952667236328125
2020-03-24,59.59769821166992,177.37384033203125,223.5135498046875,33.66666793823242
2020-03-25,59.26939392089844,176.06039428710938,226.8595733642578,35.95000076293945
